start,end,start_lat,start_long,end_lat,end_long,cost
Z2,source-38,-22.3734,141.7721,-29.5135,152.1351,0.12
Z3,source-38,-22.3734,141.7721,-37.0957,142.2138,0.25
Z4,source-39,-41.1131,172.4682,-45.0244,168.6218,0.98
A8,source-40,48.9075,118.8278,50.8332,140.3611,0.02
A9,source-40,48.9075,118.8278,16.4459,95.0096,0.44
,,,,,,0.54
N9,N1,38.9603,-67.7183,22.5729,-105.1789,0.5
N10,N1,38.9603,-67.7183,59.0741,136.9953,0.92
S1,N1,38.9603,-67.7183,8.9915,-67.2331,0.69
S2,N1,38.9603,-67.7183,-5.1621,-42.1811,0.42
S3,N1,38.9603,-67.7183,-21.3756,-49.9622,0.05
S4,N1,38.9603,-67.7183,-43.7592,-65.5599,0.82
S5,N1,38.9603,-67.7183,-35.8045,-71.5364,0.53
S6,N1,38.9603,-67.7183,-6.9267,-75.2371,0.84
S7,N1,38.9603,-67.7183,7.6532,-76.2382,0.06
S8,N1,38.9603,-67.7183,-32.5658,-52.7961,0.61
E1,N1,38.9603,-67.7183,47.4901,14.1276,0.41
E2,N1,38.9603,-67.7183,54.9682,27.7502,0.63
E3,N1,38.9603,-67.7183,58.8052,15.9729,0.52
E4,N1,38.9603,-67.7183,50.0536,2.4377,0.45
E5,N1,38.9603,-67.7183,39.2195,-3.3631,0.47
E6,N1,38.9603,-67.7183,35.9945,9.5282,0.05
E7,N1,38.9603,-67.7183,44.9363,26.0808,0.53
E8,N1,38.9603,-67.7183,69.8863,-27.0051,0.91
E9,N1,38.9603,-67.7183,66.0731,-40.7161,0.43
E10,N1,38.9603,-67.7183,69.7711,22.6141,0.97
E11,N1,38.9603,-67.7183,64.3111,-17.1125,0.09
M1,N1,38.9603,-67.7183,29.9007,25.0417,0.45
M2,N1,38.9603,-67.7183,20.0666,35.6046,0.78
M3,N1,38.9603,-67.7183,17.4034,45.7999,0.66
M4,N1,38.9603,-67.7183,-2.0396,38.0496,0.17
M5,N1,38.9603,-67.7183,-21.8787,33.8308,0.51
M6,N1,38.9603,-67.7183,-32.6365,23.2839,0.79
M7,N1,38.9603,-67.7183,2.0002,13.0886,0.44
M8,N1,38.9603,-67.7183,10.2101,-7.1261,0.75
M9,N1,38.9603,-67.7183,21.0261,-8.708,0.7
M10,N1,38.9603,-67.7183,30.8108,-4.4894,0.25
M11,N1,38.9603,-67.7183,-10.6827,14.1675,0.32
M12,N1,38.9603,-67.7183,-11.5451,40.3679,0.1
M13,N1,38.9603,-67.7183,9.7734,49.8601,0.28
K1,N1,38.9603,-67.7183,23.8158,53.8859,0.05
K2,N1,38.9603,-67.7183,-19.8441,46.3005,0.31
K3,N1,38.9603,-67.7183,26.7254,36.3249,0.17
K4,N1,38.9603,-67.7183,25.4625,63.0436,0.35
K5,N1,38.9603,-67.7183,30.4292,48.9811,0.22
A1,N1,38.9603,-67.7183,44.7861,142.4796,0.46
A2,N1,38.9603,-67.7183,41.8452,129.8234,0.21
A3,N1,38.9603,-67.7183,38.3505,117.5187,0.2
A4,N1,38.9603,-67.7183,26.3621,103.8708,0.1
A5,N1,38.9603,-67.7183,20.2081,103.6321,0.52
A6,N1,38.9603,-67.7183,12.3081,80.0773,0.34
A7,N1,38.9603,-67.7183,19.2389,73.3796,0.55
A8,N1,38.9603,-67.7183,50.8332,140.3611,0.41
A9,N1,38.9603,-67.7183,16.4459,95.0096,0.13
A10,N1,38.9603,-67.7183,21.7588,88.1451,0.96
A11,N1,38.9603,-67.7183,15.2623,120.4979,0.87
A12,N1,38.9603,-67.7183,6.8166,125.2493,0.53
A13,N1,38.9603,-67.7183,-4.4128,144.0525,0.7
A14,N1,38.9603,-67.7183,31.1841,130.6932,0.98
Z1,N1,38.9603,-67.7183,-21.5409,147.7123,0.98
Z2,N1,38.9603,-67.7183,-29.5135,152.1351,0.91
Z3,N1,38.9603,-67.7183,-37.0957,142.2138,0.96
Z4,N1,38.9603,-67.7183,-45.0244,168.6218,0.82
Z5,N1,38.9603,-67.7183,-31.9787,117.1119,0.38
Z6,N1,38.9603,-67.7183,-22.1268,115.4265,0.48
Z7,N1,38.9603,-67.7183,-12.7481,133.5319,0.81
N9,N2,33.6701,-79.1441,22.5729,-105.1789,0.32
N10,N2,33.6701,-79.1441,59.0741,136.9953,0.48
S1,N2,33.6701,-79.1441,8.9915,-67.2331,0.21
S2,N2,33.6701,-79.1441,-5.1621,-42.1811,0.94
S3,N2,33.6701,-79.1441,-21.3756,-49.9622,0.37
S4,N2,33.6701,-79.1441,-43.7592,-65.5599,0.24
S5,N2,33.6701,-79.1441,-35.8045,-71.5364,0.02
S6,N2,33.6701,-79.1441,-6.9267,-75.2371,0.59
S7,N2,33.6701,-79.1441,7.6532,-76.2382,0.11
S8,N2,33.6701,-79.1441,-32.5658,-52.7961,0.19
E1,N2,33.6701,-79.1441,47.4901,14.1276,0.2
E2,N2,33.6701,-79.1441,54.9682,27.7502,0.49
E3,N2,33.6701,-79.1441,58.8052,15.9729,0.76
E4,N2,33.6701,-79.1441,50.0536,2.4377,0.7
E5,N2,33.6701,-79.1441,39.2195,-3.3631,0.53
E6,N2,33.6701,-79.1441,35.9945,9.5282,0.52
E7,N2,33.6701,-79.1441,44.9363,26.0808,0.1
E8,N2,33.6701,-79.1441,69.8863,-27.0051,0.39
E9,N2,33.6701,-79.1441,66.0731,-40.7161,0.82
E10,N2,33.6701,-79.1441,69.7711,22.6141,0.5
E11,N2,33.6701,-79.1441,64.3111,-17.1125,0.94
M1,N2,33.6701,-79.1441,29.9007,25.0417,0.74
M2,N2,33.6701,-79.1441,20.0666,35.6046,0.99
M3,N2,33.6701,-79.1441,17.4034,45.7999,0.51
M4,N2,33.6701,-79.1441,-2.0396,38.0496,0.11
M5,N2,33.6701,-79.1441,-21.8787,33.8308,0.98
M6,N2,33.6701,-79.1441,-32.6365,23.2839,0.52
M7,N2,33.6701,-79.1441,2.0002,13.0886,0.64
M8,N2,33.6701,-79.1441,10.2101,-7.1261,0.65
M9,N2,33.6701,-79.1441,21.0261,-8.708,0.78
M10,N2,33.6701,-79.1441,30.8108,-4.4894,0.39
M11,N2,33.6701,-79.1441,-10.6827,14.1675,0.83
M12,N2,33.6701,-79.1441,-11.5451,40.3679,0.97
M13,N2,33.6701,-79.1441,9.7734,49.8601,0.5
K1,N2,33.6701,-79.1441,23.8158,53.8859,0.8
K2,N2,33.6701,-79.1441,-19.8441,46.3005,0.38
K3,N2,33.6701,-79.1441,26.7254,36.3249,0.71
K4,N2,33.6701,-79.1441,25.4625,63.0436,0.92
K5,N2,33.6701,-79.1441,30.4292,48.9811,0.89
A1,N2,33.6701,-79.1441,44.7861,142.4796,0.97
A2,N2,33.6701,-79.1441,41.8452,129.8234,0.24
A3,N2,33.6701,-79.1441,38.3505,117.5187,0.78
A4,N2,33.6701,-79.1441,26.3621,103.8708,0.58
A5,N2,33.6701,-79.1441,20.2081,103.6321,0.07
A6,N2,33.6701,-79.1441,12.3081,80.0773,0.6
A7,N2,33.6701,-79.1441,19.2389,73.3796,0.21
A8,N2,33.6701,-79.1441,50.8332,140.3611,0.16
A9,N2,33.6701,-79.1441,16.4459,95.0096,0.04
A10,N2,33.6701,-79.1441,21.7588,88.1451,0.09
A11,N2,33.6701,-79.1441,15.2623,120.4979,0.5
A12,N2,33.6701,-79.1441,6.8166,125.2493,0.83
A13,N2,33.6701,-79.1441,-4.4128,144.0525,0.3
A14,N2,33.6701,-79.1441,31.1841,130.6932,0.9
Z1,N2,33.6701,-79.1441,-21.5409,147.7123,0.19
Z2,N2,33.6701,-79.1441,-29.5135,152.1351,0.88
Z3,N2,33.6701,-79.1441,-37.0957,142.2138,0.93
Z4,N2,33.6701,-79.1441,-45.0244,168.6218,0.14
Z5,N2,33.6701,-79.1441,-31.9787,117.1119,0.57
Z6,N2,33.6701,-79.1441,-22.1268,115.4265,0.54
Z7,N2,33.6701,-79.1441,-12.7481,133.5319,0.24
N9,N3,21.3022,-90.1044,22.5729,-105.1789,0.56
N10,N3,21.3022,-90.1044,59.0741,136.9953,0.76
S1,N3,21.3022,-90.1044,8.9915,-67.2331,0.64
S2,N3,21.3022,-90.1044,-5.1621,-42.1811,0.32
S3,N3,21.3022,-90.1044,-21.3756,-49.9622,0.25
S4,N3,21.3022,-90.1044,-43.7592,-65.5599,0.49
S5,N3,21.3022,-90.1044,-35.8045,-71.5364,0.77
S6,N3,21.3022,-90.1044,-6.9267,-75.2371,0.15
S7,N3,21.3022,-90.1044,7.6532,-76.2382,0.29
S8,N3,21.3022,-90.1044,-32.5658,-52.7961,0.12
E1,N3,21.3022,-90.1044,47.4901,14.1276,1
E2,N3,21.3022,-90.1044,54.9682,27.7502,0.13
E3,N3,21.3022,-90.1044,58.8052,15.9729,0.77
E4,N3,21.3022,-90.1044,50.0536,2.4377,0.7
E5,N3,21.3022,-90.1044,39.2195,-3.3631,0.88
E6,N3,21.3022,-90.1044,35.9945,9.5282,0.51
E7,N3,21.3022,-90.1044,44.9363,26.0808,0.39
E8,N3,21.3022,-90.1044,69.8863,-27.0051,0.9
E9,N3,21.3022,-90.1044,66.0731,-40.7161,0.15
E10,N3,21.3022,-90.1044,69.7711,22.6141,0.38
E11,N3,21.3022,-90.1044,64.3111,-17.1125,0.11
M1,N3,21.3022,-90.1044,29.9007,25.0417,0.94
M2,N3,21.3022,-90.1044,20.0666,35.6046,0.14
M3,N3,21.3022,-90.1044,17.4034,45.7999,1
M4,N3,21.3022,-90.1044,-2.0396,38.0496,0.84
M5,N3,21.3022,-90.1044,-21.8787,33.8308,0.02
M6,N3,21.3022,-90.1044,-32.6365,23.2839,0.13
M7,N3,21.3022,-90.1044,2.0002,13.0886,0.32
M8,N3,21.3022,-90.1044,10.2101,-7.1261,0.16
M9,N3,21.3022,-90.1044,21.0261,-8.708,0.16
M10,N3,21.3022,-90.1044,30.8108,-4.4894,0.41
M11,N3,21.3022,-90.1044,-10.6827,14.1675,0.12
M12,N3,21.3022,-90.1044,-11.5451,40.3679,0.68
M13,N3,21.3022,-90.1044,9.7734,49.8601,0.13
K1,N3,21.3022,-90.1044,23.8158,53.8859,0.08
K2,N3,21.3022,-90.1044,-19.8441,46.3005,0.67
K3,N3,21.3022,-90.1044,26.7254,36.3249,0.11
K4,N3,21.3022,-90.1044,25.4625,63.0436,0.32
K5,N3,21.3022,-90.1044,30.4292,48.9811,0.88
A1,N3,21.3022,-90.1044,44.7861,142.4796,0.85
A2,N3,21.3022,-90.1044,41.8452,129.8234,0.88
A3,N3,21.3022,-90.1044,38.3505,117.5187,0.34
A4,N3,21.3022,-90.1044,26.3621,103.8708,0.68
A5,N3,21.3022,-90.1044,20.2081,103.6321,0.81
A6,N3,21.3022,-90.1044,12.3081,80.0773,0.29
A7,N3,21.3022,-90.1044,19.2389,73.3796,0.29
A8,N3,21.3022,-90.1044,50.8332,140.3611,0.33
A9,N3,21.3022,-90.1044,16.4459,95.0096,0.35
A10,N3,21.3022,-90.1044,21.7588,88.1451,0.55
A11,N3,21.3022,-90.1044,15.2623,120.4979,0.07
A12,N3,21.3022,-90.1044,6.8166,125.2493,0.91
A13,N3,21.3022,-90.1044,-4.4128,144.0525,0.05
A14,N3,21.3022,-90.1044,31.1841,130.6932,0.93
Z1,N3,21.3022,-90.1044,-21.5409,147.7123,0.12
Z2,N3,21.3022,-90.1044,-29.5135,152.1351,0
Z3,N3,21.3022,-90.1044,-37.0957,142.2138,0.14
Z4,N3,21.3022,-90.1044,-45.0244,168.6218,0.46
Z5,N3,21.3022,-90.1044,-31.9787,117.1119,0.4
Z6,N3,21.3022,-90.1044,-22.1268,115.4265,0.17
Z7,N3,21.3022,-90.1044,-12.7481,133.5319,0.22
N9,N4,31.8968,-103.4019,22.5729,-105.1789,0.9
N10,N4,31.8968,-103.4019,59.0741,136.9953,0.67
S1,N4,31.8968,-103.4019,8.9915,-67.2331,0.1
S2,N4,31.8968,-103.4019,-5.1621,-42.1811,0.73
S3,N4,31.8968,-103.4019,-21.3756,-49.9622,0.02
S4,N4,31.8968,-103.4019,-43.7592,-65.5599,0.03
S5,N4,31.8968,-103.4019,-35.8045,-71.5364,0.05
S6,N4,31.8968,-103.4019,-6.9267,-75.2371,0.89
S7,N4,31.8968,-103.4019,7.6532,-76.2382,0.23
S8,N4,31.8968,-103.4019,-32.5658,-52.7961,0.69
E1,N4,31.8968,-103.4019,47.4901,14.1276,0.63
E2,N4,31.8968,-103.4019,54.9682,27.7502,0.35
E3,N4,31.8968,-103.4019,58.8052,15.9729,0.97
E4,N4,31.8968,-103.4019,50.0536,2.4377,0.1
E5,N4,31.8968,-103.4019,39.2195,-3.3631,0.74
E6,N4,31.8968,-103.4019,35.9945,9.5282,0.07
E7,N4,31.8968,-103.4019,44.9363,26.0808,0.24
E8,N4,31.8968,-103.4019,69.8863,-27.0051,0.16
E9,N4,31.8968,-103.4019,66.0731,-40.7161,0.54
E10,N4,31.8968,-103.4019,69.7711,22.6141,0.28
E11,N4,31.8968,-103.4019,64.3111,-17.1125,0.03
M1,N4,31.8968,-103.4019,29.9007,25.0417,0.54
M2,N4,31.8968,-103.4019,20.0666,35.6046,0.1
M3,N4,31.8968,-103.4019,17.4034,45.7999,0.3
M4,N4,31.8968,-103.4019,-2.0396,38.0496,0.57
M5,N4,31.8968,-103.4019,-21.8787,33.8308,0.02
M6,N4,31.8968,-103.4019,-32.6365,23.2839,0.26
M7,N4,31.8968,-103.4019,2.0002,13.0886,0.8
M8,N4,31.8968,-103.4019,10.2101,-7.1261,0.77
M9,N4,31.8968,-103.4019,21.0261,-8.708,0.01
M10,N4,31.8968,-103.4019,30.8108,-4.4894,0.39
M11,N4,31.8968,-103.4019,-10.6827,14.1675,0.97
M12,N4,31.8968,-103.4019,-11.5451,40.3679,0.86
M13,N4,31.8968,-103.4019,9.7734,49.8601,0.84
K1,N4,31.8968,-103.4019,23.8158,53.8859,0.81
K2,N4,31.8968,-103.4019,-19.8441,46.3005,0.07
K3,N4,31.8968,-103.4019,26.7254,36.3249,0.89
K4,N4,31.8968,-103.4019,25.4625,63.0436,0.3
K5,N4,31.8968,-103.4019,30.4292,48.9811,0.65
A1,N4,31.8968,-103.4019,44.7861,142.4796,0.11
A2,N4,31.8968,-103.4019,41.8452,129.8234,0.18
A3,N4,31.8968,-103.4019,38.3505,117.5187,0.04
A4,N4,31.8968,-103.4019,26.3621,103.8708,0.29
A5,N4,31.8968,-103.4019,20.2081,103.6321,0.34
A6,N4,31.8968,-103.4019,12.3081,80.0773,0.4
A7,N4,31.8968,-103.4019,19.2389,73.3796,0.71
A8,N4,31.8968,-103.4019,50.8332,140.3611,0.47
A9,N4,31.8968,-103.4019,16.4459,95.0096,0.96
A10,N4,31.8968,-103.4019,21.7588,88.1451,0.65
A11,N4,31.8968,-103.4019,15.2623,120.4979,0.89
A12,N4,31.8968,-103.4019,6.8166,125.2493,0.27
A13,N4,31.8968,-103.4019,-4.4128,144.0525,0.66
A14,N4,31.8968,-103.4019,31.1841,130.6932,0.65
Z1,N4,31.8968,-103.4019,-21.5409,147.7123,0.51
Z2,N4,31.8968,-103.4019,-29.5135,152.1351,0.55
Z3,N4,31.8968,-103.4019,-37.0957,142.2138,0.66
Z4,N4,31.8968,-103.4019,-45.0244,168.6218,0.57
Z5,N4,31.8968,-103.4019,-31.9787,117.1119,1
Z6,N4,31.8968,-103.4019,-22.1268,115.4265,0.08
Z7,N4,31.8968,-103.4019,-12.7481,133.5319,0.51
N9,N5,53.2547,-124.4917,22.5729,-105.1789,0.37
N10,N5,53.2547,-124.4917,59.0741,136.9953,0
S1,N5,53.2547,-124.4917,8.9915,-67.2331,0.5
S2,N5,53.2547,-124.4917,-5.1621,-42.1811,0.64
S3,N5,53.2547,-124.4917,-21.3756,-49.9622,0.1
S4,N5,53.2547,-124.4917,-43.7592,-65.5599,0.95
S5,N5,53.2547,-124.4917,-35.8045,-71.5364,0.84
S6,N5,53.2547,-124.4917,-6.9267,-75.2371,0.43
S7,N5,53.2547,-124.4917,7.6532,-76.2382,0.11
S8,N5,53.2547,-124.4917,-32.5658,-52.7961,0.76
E1,N5,53.2547,-124.4917,47.4901,14.1276,0.81
E2,N5,53.2547,-124.4917,54.9682,27.7502,0.18
E3,N5,53.2547,-124.4917,58.8052,15.9729,0.35
E4,N5,53.2547,-124.4917,50.0536,2.4377,0.65
E5,N5,53.2547,-124.4917,39.2195,-3.3631,0.31
E6,N5,53.2547,-124.4917,35.9945,9.5282,0.12
E7,N5,53.2547,-124.4917,44.9363,26.0808,0.87
E8,N5,53.2547,-124.4917,69.8863,-27.0051,0.97
E9,N5,53.2547,-124.4917,66.0731,-40.7161,0.05
E10,N5,53.2547,-124.4917,69.7711,22.6141,0.86
E11,N5,53.2547,-124.4917,64.3111,-17.1125,0.85
M1,N5,53.2547,-124.4917,29.9007,25.0417,0.88
M2,N5,53.2547,-124.4917,20.0666,35.6046,0.62
M3,N5,53.2547,-124.4917,17.4034,45.7999,0.86
M4,N5,53.2547,-124.4917,-2.0396,38.0496,0.54
M5,N5,53.2547,-124.4917,-21.8787,33.8308,0.98
M6,N5,53.2547,-124.4917,-32.6365,23.2839,0.28
M7,N5,53.2547,-124.4917,2.0002,13.0886,0.08
M8,N5,53.2547,-124.4917,10.2101,-7.1261,0.8
M9,N5,53.2547,-124.4917,21.0261,-8.708,0.26
